TITLE ORIGINAL,AUTHORS,PUBLICATION YEAR
"Der Wille zum Recht und das Streben nach Glück .","Hossenfelder, M.","2000"
"L'Idée de Bonheur au Moyen Age.","Buschinger, D.","1990"
"Religious Transformation in Western Society. The End of Happiness.","Ferguson, H.","1992"
"The Functions of Pleasure.","Warburton, D.M.","1996"
"Australian Unity Wellbeing Index. Survey 1. Report 1.","Cummins, R.A.; Eckersley, R.; Misajon, R.A.; Pallant, J.; Pusey, M.; Shelley, J.; VanVugt, J.","2001"
"Domains of Subjective Well-Being in Farm Men and Women.","Wozniak, P.J.; Draughn, P.S.; Knaub, P.K.","1993"
"Internet Strategies for the Development of Very Poor Societies.","Meier, R.L.","2001"
"Variables Influencing Life Satisfaction Among Grand Parents.","Forsyth, C.J.; Roberts, S.B.; Robin, C.A.","1992"
"Money and Subjective Well-Being: It's Not the Money, It's the Motives.","Srivastava, A.; Bartol, K.M.; Locke, E.A.","2001"
"No Large Convergence During Marriage for Health, Lifestyle, and Personality in a Large Sample of Norwegian Spouses.","Tambs, K.; Moum, T.","1992"
"Freedom and the Achievement of Happiness.","Ott, J.C.","2000"
"A New Measure of Quality of Work Life (QWL). Based on Need Satisfaction and Spillover Theories.","Sirgy, M.J.; Efraty, D.; Lee, D.J.; Siegel, P.","2001"
"The Political Economy of Human Happiness.","Radcliff, B.F.","2000"
"Are Religious People Happier? A Study among Undergraduates.","Robbins, M.; Francis, L.J.","1996"
"Relative Einkommensarmut bei Kinderen.","Weick, S.","1999"
"Social Desirability and the Measurement of Psychological Well-Being in Elderly Persons.","Carstensen, L.L.; Cone, J.D.","1983"
"Emotional Experience in Every Day Life Across the Adult Life Span.","Carstensen, L.L.; Mayr, U.; Nesselroade, J.R.; Pasupathi, M.","2000"
"De Nederlandse Huisvrouw. Op Weg naar het Jaar 2000.","Philips Nederland,","1988"
"Le Bonheur.","Bouffard, L.","1997"
"Culture Dimensions, Socioeconomic Development, Climate, and Emotional Hedonic Level.","Basabe, N.; Paez, D.; Valencia, J.","2002"
"Goods, Satisfaction with Activities and Well-Being: An Exploratory Analysis.","Dow, G.K.; Juster, F.T.","1980"
"Quality of Life Therapy: Cognitive Therapy for the Whole Person.","Frisch, M.B.","2001"
"The Role of Leisure in Determining Quality of Life: Issues of Content and Measurement.","Lloyd, K.M.; Auld, C.J.","2002"
"Geloof Jij dat Het Wel Goed Zit? De Achterkant van de Welvaart.","Leger des Heils,","2002"
"Australian Unity Wellbeing Index, Survey 3, Report 3.2. The Impact of Personal Relationships and Household Structure on the Wellbeing of Australians.","Cummins, R.A.; Davern, M.T.; Eckersley, R.; Okerstrom, E.; Pallant, J.","2002"
"Reexamining Adaptation and the Set Point Model of Happiness: Reaction to Changes in Marital Status.","Lucas, R.E.; Clark, A.E.; Diener, E.; Georgellis, Y.","2003"
"Scarring: The Psychological Impact of Past Unemployment.","Clark, A.E.; Georgellis, Y.; Sanfey, P.","2001"
"A Simple Statistical Method for Measuring how Life Events Affect Happiness.","Clark, A.E.; Oswald, A.J.","2002"
"Unhappiness and Unemployment.","Clark, A.E.; Oswald, A.J.","1994"
"Well-Being and Wage Arrears in Russian Panel Data.","Clark, A.E.; Maurel, M.","2001"
"The Impact of Television Viewership on Consumers' Materialism and Quality of Life Perceptions: An Examination in the Islamic Cultures.","Al-Khatib, J.; Clairborne, C.B.; D'Auria Stanton, A.","2001"
"Role Quality and Psychological Well-Being.","Baruch, G.K.; Barnett, R.C.","1987"
"Is the UK Moving Up the International Wellbeing Rankings?","Blanchflower, D.G.; Oswald, A.J.","2000"
"Positive Emotions in Early Life and Longevity: Findings from the Nun Study.","Danner, D.D.; Friessen, W.V.; Snowdon, D.A.","2001"
"Income and Happiness: Towards a Unified Theory.","Easterlin, R.A.","2001"
"Happiness and Economics.","Frey, B.S.; Stutzer, A.","2002"
"Familiäre Netzwerke und Lebenszufriedenheit alter Menschen in ländlichen und urbanen Regionen.","Schilling, O.; Wahl, H.W.","2002"
"Culture and Democracy.","Inglehart, R.","2000"
"Het Geluk. Een Handleiding. (Happiness. A Users Manual).","Kets-DeVries, M.F.","2000"
"Is Narcissism Inversely Related to Satisfaction? An Examination of Data from Two U.S. Samples.","Kopelman, R.E.; Mullins, L.S.","1992"
"Psychologists and the Quality of Life.","Kovac, D.","2001"
"Panel Study of Social Integration in the Netherlands 1987-1995. (PSIN 8795) Codebook.","Liefbroer, A.C.; Kalmijn, M.","1997"
"The Role of Quality of Life Surveys in Managing Change in Democratic Transitions: The South African Case.","Moller, V.; Dickow, H.","2002"
"The Association between Emotional Well-Being and the Incidence of Strokes in Older Adults.","Ostir, G.V.; Goodwin, J.S.; Markides, K.S.; Peek, K.","2001"
"Emotional Well-Being predict Subsequent Functional Independence and Survival.","Ostir, G.V.; Goodwin, J.S.; Markides, K.S.","2000"
"Wie beurteilen psychisch Kranke Wohnungslose ihre Lebensqualität?","Salize, H.J.; Dillmann-Lange, C.; Horst, A.; Killmann, U.","2001"
"Bevrijde Sexualiteit.","Veenhoven, R.","2002"
"Happiness in Persons with Intellectual Disabilities.","Matikka, L.M.; Ojanen, M.","2002"
"Sociocultural Factors Predicting Subjective Experience of Emotion: A Collective Level Analysis.","Basabe, N.; Diener, E.; Gonzalez Gutierriez, J.L.; Paez, D.; Pennebaker, J.W.; Rimé, B.; Valencia, J.","2000"
"Happiness of Women and Men in Later Life: Nature, Determinants and Prospects.","Easterlin, R.A.","2002"
"Recent Findings on Subjective Well-Being.","Diener, E.; Oishi, S.; Suh, E.M.","1997"
"Personality and Susceptibility to Positive and Negative Emotional States.","Larsen, R.J.; Ketelaar, T.","1991"
"Euro Module Data Tables, June 2002","Nauenburg, R.","2002"
"Well-Being in Argentina in the Middle of the Economic, Politic and Social Crisis.","Tonon, G.; Aguirre, V.; Rodriguez DelaVega, L.","2002"
"Weiter deutliche Zufriedenheitsdifferenzen zwichen Ost und West trotz Annä herung in manchen Bereichen. ","Christoph, B.","2002"
"School Satisfaction of Elementary School Children: The Role of Performance, Peer Relations, Ethnicity and Gender.","Verkuyten, M.; Thijs, J.","2002"
"South Africa's Rainbow People: National Pride and Optimism: A Trend Study.","Dickow, H.; Moller, V.","2002"
"Individual Production of Social Well-Being. An Exploratory Study.","VanBruggen, A.C.","2001"
"Utulité Absolue ou Utilité Relative.","Clark, A.E.","2000"
"Interactions in Labour Force Status, as Revealed by Proxy Utility Data.","Clark, A.E.","2001"
"Euromodule, Codebook June 2002.","Böhnke, P.; Delhey, J.; Habich, R.","2002"
"The Life-Course of Individuals.","Clausen, J.A.","1972"
"How Neighborhood Features Affect Quality of Life.","Sirgy, M.J.; Cornwell, T.L.","2002"
"Global Maße des Subjektiven Wohlbefindens.","Bulmahn, T.","2002"
"La Calidad de Vida y el Estado de Salud de los estudiantes universitarios ","Reig Ferrer, A.; Cabrero Garcia, J.; Ferrer Cascales, R.I.; Richart Martinez, M.","2001"
"Who Trusts? The Origins of Social Trust in Seven Nations.","Delhey, J.; Newton, K.","2002"
"A New Look at Life and Job Satisfaction with Sunbelt MBA 's.","Whiteside, M.M.","1985"
"Mobilität und Lebensqualität im Alter. Objektive Voraussetzungen und subjektive Bedeutung in der mobilen Gesellschaft.","Mollenkopf, H.","2002"
"1997 Survey: The People's Republic of China. Consumer Attitudes & Lifestyle Trends","Gallup,","1997"
"Problems with the Performance of the SF-36 among People with Type 2 Diabetes in General Practice.","Woodcock, A.J.; Campbell, M.J.; Julious, S.A.; Kinmonth, L.","2001"
"A System Model of QOL for Rehabilitation and Psychology Care.","Leung, K.F.","2002"
"Teleworking at BT. The Economic, Environmental and Social Impacts of its Workabout Scheme.","Hopkinson, P.; James, B.; Maruyama, T.","2002"
"The WHO Quality of Life Assessment Instrument (WHOQOL-Bref): The  Importance of its Items for Cross-Cultural Research.","Saxena, S.; Billington, R.; Carlson, D.; Orley, J.","2001"
"Happiness in Transition: The Case of Kyrgyzstan.","Namazie, C.; Sanfey, P.","1999"
"What Can Economists Learn from Happiness Research?","Frey, B.S.; Stutzer, A.","2002"
"Wealth of Nations, Individual Income and Life Satisfaction in 42 countries: A Multilevel Approach.","Schyns, P.","2002"
"Quality of Life in Europe: Objective and Subjective Indicators.","Petrucci, A.; Schifini D'Andrea, S.","2002"
"Does Material Well-Being affect Non-Material Well-Being.","Ferriss, A.L.","2002"
"An Introduction to the Multidimensional Students' Life Satisfaction Scale.","Huebner, E.S.; Gilman, R.","2002"
"Community Subjective Well-Being, Personality Traits and Quality of Life Therapy.","Kimweli, D.M.; Stilwell, W.E.","2002"
"The Subjective Quality of Korean Life Twenty Years Later: The Sense of Well-Being and Ill-Being, 1981-2001.","Shin, D.C.","2001"
"Making the Links between Community Structure and Individual Well-Being: Community Quality of Life in Riverdale, Toronto, Canada.","Raphael, D.; Brown, I.; Phillip, S.; Renwic, R.; Sehde, H.; Steinmet, B.","2001"
"Personality and Subjective Well-Being Across the Life Span","Lucas, R.E.; Diener, E.","2000"
"Emotional States and Physical Health.","Salovey, P.; Detweiler, J.B.; Rothman, A.J.; Steward, W.T.","2000"
"Correlates of Adolescent Life Satisfaction.","Feldman, M.J.; Gaier, E.L.","1980"
"Coping Resources, Perceived Stress, and Life Satisfaction among Turkish and American University Students.","Matheny, K.B.; Aysan, F.; Curlette, W.L.; Gfroerer, C.A.; Hamarat, E.; Herrington, A.; Thompson, D.","2002"
"Comfort and Joy? Religion, Cognition, and Mood in Protestant and Jews under Stress.","Loewenthal, K.M.; Goldblatt, V.; Lubitsh, G.; MacLeod, A.K.; Valentine, J.D.","2000"
"Cross-Cultural Evidence for the Fundamental Features of Extraversion.","Lucas, R.E.; Diener, E.; Grob, A.; Shao, L.; Suh, E.M.","2000"
"Changes in Affect Interrelations as a Function of Stressful Events.","Zautra, A.J.; Berkhof, J.; Nicolson, N.A.","2002"
"Perceived Parental Behaviour, Self-Esteem and Happiness.","Furnham, A.; Cheng, H.","2000"
"Person/Society Value Congruence and Well-Being: The Role of Acculturation Strategies.","Stromberg, C.; Boehnke, K.","2001"
"Agency- and Communion-Orientation in Life Goals: Impacts on Goal Pursuit Strategies and Psychological Well-Being.","Pöhlmann, K","2001"
"Cultivating Positive Emotions to Optimize Health and Well-Being.","Fredrickson, B.L.","2000"
"Gerotranscendence and Life Satisfaction: Studies of Religious and Secular Iranians and Turks.","Lewin, F.A.; Thomas, L.E.","2000"
"Self-Focused Goals: What They Are, How They Function, and How they Relate to Well-Being.","Salmela-Aro, K.; Nurmi, J.E.; Pennanen, R.","2001"
"Aspirations and Well-Being in Old Age.","Lapierre, S.; Bastin, E.; Bouffard, L.; Dubé, M.; Labelle, R.","2001"
"Intrinsic and Extrinsic Life Goals Preferences as Measured via Inventories and via Priming Methodologies: Mean Differences and Relations with Well-Being.","Schmuck, P.","2001"
"De Verborgen Kosten van de WAO.","Groot, W.; Maassen-VandenBrink, H.","2001"
"Well-being and control in older persons: The prediction of well-being from control measures.","Smits, C.H.; Bosscher, R.J.; Deeg, D.J.","1995"
"Happiness and Economics Enriching Economic Theory with Empirical Psychology.","Hirata, J.","2001"
"Wat Maakt een Competitiever Volk Ongelukkiger?","VandeVliert, E.; Giebels, E.; Janssen, O.","2001"
"The Effects of Divorce and Marital Discord on Adult Children's Psychological Well-Being.","Amato, P.R.; Sobolewski, J.M.","2001"
"Re-Examining the General Positivity Model of Subjective Well-Being: The Discrepancy between Specific and Global Domain Satisfaction.","Oishi, S.; Diener, E.","2001"
"Parent and Teacher Autonomy-Support in Russian and U.S. Adolescents.","Chirkov, V.I.; Ryan, R.M.","2001"
"What is Happiness?","Smart, N.","1984"
"Happiness and the Idea of Happiness.","Matsushita, M.","1984"
"Aspects of Meaning in Words Related to Happiness.","Storm, C.; Jones, C.; Storm, T.","1996"
"Human Development and the ""Explosion"" of Democracy: Variations of Regime Change across 60 Societies.","Welzel, C.; Inglehart, R.","2001"
"Is Happiness a Trait? Test of the Theory that a Better Society does not Make People any Happier.","Veenhoven, R.","1994"
"Subjective Well-Being in the European Union During the 90 ties.","Christoph, B.; Noll, H.H.","2003"
"On Happiness and Human Potentials. A Review of Research on Hedonic and Eudaimonic Well-Being.","Ryan, R.M.; Deci, E.L.","2001"
"Inequality and Happiness: Are Europeans and Americans Different?","Alesina, A.; DiTella, R.; MacCulloch, R.J.","2004"
"Kerkelijke Gezindte en Kerkbezoek an het Eine van de 20ste EEA.","Advocaat, W.; Schmeets, H.; VanBaal, M.","2000"
"End Effects of Rated Life Quality: The James Dean Effect.","Diener, E.; Oishi, S.; Wirtz, D.","2001"
"Subjective Well-Being.","Diener, E.","2001"
"Life Satisfaction among Ethnic Groups in Canada.","Mata, F.","2001"
"The Quality of Life.","Porter, R.","2002"
"The Distribution of Basic Emotions in Every Day Life: A State and Trait Perspective from Experience Sampling Data.","Zelenski, J.M.; Larsen, R.J.","2000"
"Volunteer Work and Well-Being.","Thoits, P.A.; Hewitt, L.N.","2001"
"Can Gardening Influence Quality of Life Perceptions?","Waliczek, T.M.; Lineberger, D.; Zajicek, J.M.","2001"
"How to Measure Quality of Life in Diverse Population.","Richards, R.","2001"
"The Value of Reunification in Germany: An Analysis of Changes in Life Satisfaction.","Frijters, P.; DeNew, J.P.; Shields, M.A.","2002"
"Four Decades of Trends in Attitudes Towards Family Issues in the United States: The 1960s Through the 1990s.","Thornton, A.; Young-DeMarco, L.","2001"
"Life Satisfaction and Self-Esteem of Black and White South Africans: A Pilot Study.","Westaway, M.S.; Golele, N.J.; Maritz, C.","2001"
"Satisfaction with Personal Environmental Quality of Life: A Black South African Informal Settlement Perspective.","Westaway, M.S.; Gumede, T.","2000"
"Relationship between Life Satisfaction and Violent Behavior among Adolescents.","Valois, R.F.; Drane, J.W.; Huebner, E.S.; Zullig, K.J.","2001"
"The Psychology of Quality of Life.","Sirgy, M.J.","2002"
"Black-White Relations in the United States 2001. Update.","Gallup,","2001"
"Tasting Freedom: Happiness, Religion and Economic Transition.","Lelkes, O.","2002"
"Use of the Structural Equation Modelling to Test the Construct Validity of the SF-36 Health Survey in Ten Countries: Results from the IQOLA Project.","Keller, S.D.; Aaronson, N.K.; Bentler, P.M.; Ware, J.E.","1998"
"Light and Dark in the Psychology of Human Strengths: The Example of Psychogerontology.","Fernandez Ballesteros, R.","2002"
"Pleasure-Arousal-Dominance: A General Framework for Describing and Measuring Individual Differences in Temperament.","Mehrabian, A.","1996"
"Immer mehr für immer mehr. Anmerkungen zur Wohlfahrts  forschung in vergleichenden Perspective.","Habich, R.","2002"
"Berufliche Belastungen, Werthierarchie und differentiele Zufriedenheit.","Hillert, A.; Cuntz, U.; Jaufmann, D.; Langer, B.; Staedtke, D.","2001"
"Pursuing Happiness","Myers, D.G.","1993"
"On the Unity of Misery and the Diversity of Happiness.","Moore, B.","1972"
"Living with a Heart Transplant: Long-Term Adjustment.","Baumann, L.J.; Egan, J.J.; Young, C.J.","1992"
"Class Differences in Filipino Quality of Life, 1996 and 2001.","Sandoval, G.A.; Guerrero, L.L.","2001"
"National Differences in Personality, Socio-Economic, and Work-Related Attitudinal Variables.","Kirkcaldy, B.; Furnham, A.; Martin, T.","1998"
"The Impacts of Individualism/Collectivism, Self-Esteem, and Feeling of Mastery on Life Satisfaction among the Turkish University Students and Academicians.","Yetim, U.","2003"
"A Comparison of Older Informal Caregivers and Non-Caregivers Living in Non-Metropolitan Areas.","Hubley, A.M.; Hemingway, D.; Michalos, A.C.","2003"
"Determinants of Subjective Quality of Life among Rural Adolescents: A Developmental Perspective.","Chipuer-O'Neill, H.M.; Bramston, P.; Pretty, G.","2003"
"Child well-being: Systematic review of the literature.","Pollard, E.L.; Lee, P.D.","2003"
"Policing Services and The Quality of Life.","Michalos, A.C.","2003"
"Duties of Well-Being.","Raz, J.","1994"
"Vermindert de Geldeconomie het Geluk?","Ott, J.C.","2002"
"Does Marriage Make People Happy, or do Happy People Get Married.","Stutzer, A.; Frey, B.S.","2006"
"Subjective Economic Well-Being in Eastern Europe.","Hayo, B.; Seifert, W.","2003"
"New Directions in Subjective Well-Being Research: The Cutting Edge.","Diener, E.; Biswas-Diener, R.","2000"
